verb,verb_lemma,noun,dep,id
vede,vedere,polizia,ROOT,6c21a6f6-5f06-4932-9d36-518653a27aac
piegato,piegare,polizia,obj,6c21a6f6-5f06-4932-9d36-518653a27aac
disonorato,disonorare,polizia,obj,7e511992-a448-4848-bdff-f9cd8825d342
spara,sparare,polizia,obj,212be4c5-beba-41fc-a986-03401ba81b44
ha,avere,polizia,obj,c84295d9-bd73-4a05-aa83-0285b07c9f24
vivere,vivere,polizia,ROOT,c84295d9-bd73-4a05-aa83-0285b07c9f24
tradito,tradire,polizia,nmod,f358e50b-7c93-4a33-a770-f30fd5ecd0d2
abbia,avere,polizia,obl,d2b2d970-1365-4dc6-b4fc-c2c546a700ba
avvicinava,avvicinare,polizia,nsubj,bf67f1d3-c2f7-4a20-b560-3ae766212ccd
ai,al,polizia,obj,bf67f1d3-c2f7-4a20-b560-3ae766212ccd
avvicinava,avvicinare,polizia,nsubj,a4b2f085-ff12-4263-80e2-7886316bda9d
ai,al,polizia,obj,a4b2f085-ff12-4263-80e2-7886316bda9d
accanirono,accanire,polizia,nsubj:pass,983bd439-9a1b-4a00-9239-9a756bfc3243
ha,avere,polizia,nsubj,26ff62c7-b7af-473c-a70e-8897deca24f0
sia,essere,polizia,ROOT,26ff62c7-b7af-473c-a70e-8897deca24f0
giustificano,giustificare,polizia,ROOT,26ff62c7-b7af-473c-a70e-8897deca24f0
avvicinava,avvicinare,polizia,nsubj,437454a0-4b1a-4158-8151-53348083c341
ai,al,polizia,obj,437454a0-4b1a-4158-8151-53348083c341
chiamati,chiamare,polizia,nsubj,0b792856-169d-4727-a7c4-87fb33b936c9
chiamati,chiamare,polizia,nsubj,45a643b5-2674-4d5b-9a5b-7fecca34b3e3
chiamati,chiamare,polizia,nsubj,55474670-98b8-4052-89bd-d4a70633aa78
scambiano,scambiare,polizia,obj,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
della,della,polizia,nmod,53d8bb80-cfe8-41b7-b0d6-5bc5a6eabe25
l´altra,l´altra,polizia,nsubj,13c96c48-df44-459f-a42e-c39a5a3bb6df
osserva,osservare,polizia,ROOT,b30aa296-aa28-4e81-bca1-b91038c0eeca
l´altra,l´altra,polizia,nsubj,9525585a-6ad9-4897-840b-e865366a9c50
infiltrato,infiltrare,polizia,obj,fffd55d6-7bfd-4b3d-ba97-439725b5a3a6
formano,formare,polizia,nmod,fe91dae3-38b1-4349-827e-86a5b60654d5
sperimentare,sperimentare,polizia,obj,79fd61d7-ea3d-4331-a70f-31c6c157a9ce
giunge,giungere,polizia,ROOT,79fd61d7-ea3d-4331-a70f-31c6c157a9ce
giunti,giunto,polizia,nsubj,79fd61d7-ea3d-4331-a70f-31c6c157a9ce
formano,formare,polizia,nmod,76bbc2cc-ceb0-4687-b979-69f37c100918
trovano,trovare,polizia,ROOT,2a1c3681-662c-465a-9d87-9abcf4359b2e
limitare,limitare,polizia,obj,dc4ed865-6309-4cf0-a234-9dd68154f17f
trovano,trovare,polizia,ROOT,f6a6f751-6b22-4346-8c27-0a8382f95960
agirono,agire,polizia,nsubj:pass,566c77a3-dc42-47b2-9442-1454fcfda938
avvicinava,avvicinare,polizia,nsubj,e6e65e4f-2338-4925-b3ed-e514bdc1721a
ai,al,polizia,obj,e6e65e4f-2338-4925-b3ed-e514bdc1721a
della,della,polizia,nmod,90849e36-af1c-4bba-8a8e-4eaf2b869ffd
costituite,costituito,polizia,conj,c14ac53b-32c6-40ca-869a-1c092f27ffa4
avvicinava,avvicinare,polizia,nsubj,a01cb207-4b76-45a1-aad7-2c90d2bdb812
ai,al,polizia,obj,a01cb207-4b76-45a1-aad7-2c90d2bdb812
fanno,fare,polizia,ROOT,d8b43348-4ea6-4696-957d-e6d9524557f6
organizzano,organizzare,polizia,nsubj,9ba45d5d-4b43-4da5-91b9-b00a3267102b
trovò,trovare,polizia,conj,2c76bc27-18dc-4554-be24-699a319db25d
raccontati,raccontare,polizia,obj,4115d766-c733-49af-9e0e-f6d069fa0feb
è,essere,polizia,ROOT,4115d766-c733-49af-9e0e-f6d069fa0feb
chiesto,chiedere,polizia,ROOT,4115d766-c733-49af-9e0e-f6d069fa0feb
rappresentare,rappresentare,polizia,obj,4126115b-dfbb-430e-afca-e5aca37f387c
lasciate,lasciata,polizia,nsubj,4126115b-dfbb-430e-afca-e5aca37f387c
decide,decidere,polizia,nmod,4ef9d4db-766b-40c4-bd40-744d5adfa13d
decide,decidere,polizia,nmod,87222c46-441e-447b-b833-6fb433d05d02
rimasti,rimare,polizia,obj,18449d2d-902f-424c-9576-13dbcbf02a47
decide,decidere,polizia,nmod,a9a0449b-f87b-46a6-b081-5ca59e6101f5
svolgono,svolgere,polizia,conj,c67e85c5-eac2-471b-8656-e9fece67f221
cocer,cocer,polizia,obj,1fbfee03-eb6c-4d3d-be83-fb2a9f3248bd
costrette,costringere,polizia,obl,e6ebe0fb-61c0-4df6-9ec8-e7c7d5ad37a2
ricatto,ricattare,polizia,obj,cce88fd5-f275-45d4-8778-ef0f99ad7a47
arrivati,arrivato,polizia,obj,5708ce1e-a7be-430e-a8d0-54a173a452b9
spaccare,spaccare,polizia,nsubj,09fb9fec-91d4-4c2f-bb4b-dc6b74eac0fc
state,stare,polizia,nsubj,09fb9fec-91d4-4c2f-bb4b-dc6b74eac0fc
spaccare,spaccare,polizia,nsubj,ca0544b1-e8b4-4f3f-ad56-afc8258d1202
state,stare,polizia,nsubj,ca0544b1-e8b4-4f3f-ad56-afc8258d1202
arrivati,arrivato,polizia,obj,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
cocer,cocer,polizia,obj,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
operate,operato,polizia,obl,3a61791e-10bb-4e75-95cb-6432dff04d94
portava,portare,polizia,nsubj:pass,1b9fd805-1482-46c8-8684-25616a4f7663
organizzano,organizzare,polizia,nsubj,6467d638-8943-484f-b151-95e48771b773
garantito,garantire,polizia,ROOT,7b08d078-6092-4b85-8197-9a4eca8da202
fa,fare,polizia,conj,ccecc100-46c5-4efc-969c-d278ef3beb16
sortiscono,sortire,polizia,nsubj,17f9cbae-b289-4db9-a74d-229e0dbc5f29
sortiscono,sortire,polizia,nsubj,f0a33b3c-e3c0-4e8e-adb2-eb835d356873
è,essere,polizia,obl,4e3740bc-144d-4c11-a63a-d0a66962c2fb
rischiano,rischiare,polizia,obj,dc600ec4-4b48-4f20-aa62-0e808124f7cb
agito,agitare,polizia,nsubj:pass,d9778f78-c780-432c-a8a1-be64b4b7f3ed
sia,essere,polizia,conj,f228af72-b79d-491c-9185-f893d4c93e3f
accusate,accusato,polizia,conj,f228af72-b79d-491c-9185-f893d4c93e3f
intervenì,intervenì,polizia,nmod,bf9bbbc5-9f20-4e88-852c-c64b21ae5cd3
assicurano,assicurare,polizia,obj,1b6ae263-1d27-41bd-97d6-7f3795a4d652
fatto,fare,polizia,obj,c947941e-a6d4-42ec-a55f-a406990a512b
ritirarsi,ritirarsi,polizia,obj,c947941e-a6d4-42ec-a55f-a406990a512b
vieni,venire,polizia,obj,93403f85-fc51-4050-b23d-255e0866aed9
freddato,freddare,polizia,obj,93403f85-fc51-4050-b23d-255e0866aed9
alle,alla,polizia,obj,99c23406-aa5e-4713-8573-c5252a106712
immagino,immaginare,polizia,nsubj,4a40df39-9c8a-43b3-8c08-515e16b3614d
vivere,vivere,polizia,ROOT,4a40df39-9c8a-43b3-8c08-515e16b3614d
sono,essere,polizia,obj,c3ef6edb-c103-423e-a41c-83a50d545977
messa,mettere,polizia,obj,edf7d998-6eab-4e3e-a9ee-41b3432bb6dc
ordinata,ordinato,polizia,nmod,e93a5837-6894-4556-9ae5-3580d7c69680
messa,mettere,polizia,obj,851555b6-23b5-41a5-849f-f805dbf47807
essere,essere,polizia,ROOT,7ac100cb-97bc-4d43-bd6f-df67a650460b
individuata,individuare,polizia,ROOT,7ac100cb-97bc-4d43-bd6f-df67a650460b
costituita,costituito,polizia,nmod,7ac100cb-97bc-4d43-bd6f-df67a650460b
collaborano,collaborare,polizia,nmod,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
dai,dare,polizia,obj,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
falciato,falciare,polizia,nmod,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
chiamati,chiamare,polizia,conj,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
prefetto,prefetto,polizia,obj,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
circondato,circondare,polizia,conj,9b46044a-31fa-4bac-bef4-834f51238de4
messa,mettere,polizia,obj,9b46044a-31fa-4bac-bef4-834f51238de4
promossa,promuovere,polizia,nmod,5e02226b-1e4c-4655-aad8-5485dccfd82b
essere,essere,polizia,ROOT,6bd362f0-c811-4069-a459-320ff262e564
individuata,individuare,polizia,ROOT,6bd362f0-c811-4069-a459-320ff262e564
costituita,costituito,polizia,nmod,6bd362f0-c811-4069-a459-320ff262e564
essere,essere,polizia,ROOT,65d4fe32-6db5-4d3d-81c1-48306d259810
individuata,individuare,polizia,ROOT,65d4fe32-6db5-4d3d-81c1-48306d259810
costituita,costituito,polizia,nmod,65d4fe32-6db5-4d3d-81c1-48306d259810
è,essere,polizia,ROOT,ca7b8bd4-33fa-4aea-b291-fa9589fba4eb
fatto,fare,polizia,obj,518b00d0-9328-4aa9-8ca6-5ee2b8190b1d
ritirarsi,ritirarsi,polizia,obj,518b00d0-9328-4aa9-8ca6-5ee2b8190b1d
operano,operare,polizia,obj,51761172-6861-4b8d-90d0-015b5aa79e52
conosce,conoscere,polizia,obl,898988dc-41ae-4bb6-aae7-ef40fc5675a2
dal,dal,polizia,nmod,592d3754-d6c4-411c-b9fb-1dd5d83599cc
mostrava,mostrare,polizia,nmod,592d3754-d6c4-411c-b9fb-1dd5d83599cc
lato,lato,polizia,obj,0abff01c-2772-48d8-aa9b-288a5ff2e983
ritornando,ritornare,polizia,nsubj,0abff01c-2772-48d8-aa9b-288a5ff2e983
sopraelevata,sopraelevare,polizia,obj,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
